기준일ID,행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,총생활인구수_LONG_FOREIGNER,중국인체류인구수_LONG_FOREIGNER,중국외외국인체류인구수_LONG_FOREIGNER,총생활인구수_TEMP_FOREIGNER,중국인체류인구수_TEMP_FOREIGNER,중국외외국인체류인구수_TEMP_FOREIGNER
201903,11170700.0,11732.704776478497,195.58872365591398,132.8420985215054,305.45160013440864,454.2279673387097,616.773582795699,582.8922008064517,635.7035258064516,467.15693534946246,521.0990737903226,417.6937235215054,446.08486008064517,349.8401870967742,215.72330201612903,464.96059986559135,215.88420779569893,137.7682315860215,174.36452956989245,362.7178294354839,562.8491962365591,497.5029864247312,565.2665266129032,447.2539853494624,489.69094610215046,351.8669516129033,429.7631573924731,419.26559677419345,373.07411223118277,899.3981603494624,1117.9026491935483,240.04591989247314,877.8567521505377,156.31165927419354,15.115069758064516,141.19658897849462
201903,11650651.0,51628.22146370967,2075.536585887097,737.4834684139786,830.3320998655914,1256.8650016129031,2084.3274170698924,2209.8490831989247,2815.848458467742,2595.020483870968,2562.7055654569895,1711.2672368279568,1705.6620282258066,1483.6975536290324,1100.5738920698925,2026.0235330645162,2268.438573655914,888.893552688172,837.8936060483871,1277.6689103494623,2243.0615709677418,2252.675709408602,2458.6275524193543,2210.6436565860213,1998.7435022849463,1585.2220423387098,1827.0828845430108,1854.3127845430106,1545.8680262096773,3183.8967825268815,1039.2457212365591,557.3712077956989,481.8744680107526,230.2375696236559,41.83182594086021,188.4057608870968
201903,11680730.0,19109.937780107528,561.221103360215,394.19069314516133,673.6249108870968,428.09368131720424,602.5545815860215,626.7144081989246,712.0928732526883,614.4513529569892,665.5376981182796,683.7719525537635,778.3775505376344,699.3231942204301,546.7374998655914,1037.4843768817204,555.8880240591398,305.17139731182795,295.62885282258065,475.23112567204305,686.5818036290323,646.4757342741934,747.451530107527,648.4281690860216,808.6752420698924,754.4909548387097,934.4921155913979,962.268408064516,689.3062049731183,1575.6722883064517,282.9026670698925,176.36516680107528,106.53741102150536,90.11996787634408,17.239176478494624,72.8807994623656
201903,11680670.0,16705.558808333335,628.347527688172,528.6094778225806,807.1337299731182,417.312847983871,364.9136790322581,363.1255502688172,412.96407056451613,567.5264387096774,720.1073154569891,624.3142758064516,607.9571177419355,573.4246215053763,470.35807876344086,785.4887993279569,511.8897842741936,442.46292943548383,791.3851893817204,405.80968333333334,334.4738181451613,354.7290385752688,585.7448103494623,763.177987768817,828.6966399193547,698.8685561827958,724.2244870967742,680.7739068548387,609.4866688172043,1102.2517643817205,220.36005349462366,138.62226397849463,81.73774126344085,44.18819879032258,14.002302956989247,30.185890591397847
201903,11680740.0,15496.56724596774,565.7246650537635,362.17040725806453,592.6312712365591,398.4625928763441,431.20028736559135,505.0009229838709,616.1858177419355,583.6594782258064,702.6956963709678,632.8724997311828,605.5924358870967,486.9723701612903,394.68596841397846,658.0150149193549,512.0299030913978,284.46106451612906,295.31284301075266,328.8005357526882,451.208124327957,522.6806733870968,739.3679787634408,640.7699669354839,770.61476922043,608.3158642473119,626.7946407258065,647.0578827956989,482.13625362903224,1051.1474045698924,186.18707647849462,67.85771706989247,118.32936666666666,26.297082930107525,6.1334970430107525,20.163582930107523
201903,11215730.0,20884.483259677418,505.0658557795699,211.3856569892473,682.7695350806453,1657.84303844086,1351.199310483871,955.9074869623656,892.7504534946238,665.3758836021506,711.468829704301,640.6508018817204,659.0245884408602,498.4108159946236,365.75521115591397,708.0337899193547,358.23446424731185,175.51565336021508,730.4973473118281,1593.4278224462366,1135.8922220430106,915.9958116935484,781.9518608870967,623.3045637096774,689.4592451612904,634.8849154569892,663.4527927419355,611.9591778225806,390.3006610215054,1073.9655122311829,2225.7270501344087,1229.765473655914,995.9614416666667,154.4455487903226,59.66706572580645,94.77848440860215
201903,11320710.0,21948.30524744624,989.838379704301,632.1251161290322,532.4459385752688,504.70244341397853,555.2371688172043,531.0355852150537,572.9324227150538,639.5700346774194,774.6265696236559,675.2913877688172,804.9091345430107,784.301598655914,582.9005030913978,1304.1879985215053,847.8669180107527,539.970399327957,434.1664818548387,559.183034139785,536.2278122311827,611.2733946236559,711.4388375000001,781.313410483871,946.910377688172,887.6985694892475,1020.9914189516129,1054.7549022849462,723.08184327957,2409.3236897849465,141.06822177419355,78.12424341397849,62.94396061827956,14.30513744680851,0.02496695035460993,14.280172482269503
201903,11440730.0,38477.73756169355,1384.3215028225807,865.7257966397849,860.4325407258065,1079.7629583333335,1321.6354056451612,1355.510489112903,1575.2734818548386,1528.4972298387097,1532.016047177419,1153.7153764784946,1174.3309397849462,1023.6094735215055,782.925097983871,1668.9681559139788,1557.5274305107528,874.9072918010752,876.4823157258065,1512.7497975806455,1677.1703434139783,1656.418500268817,1779.2692840053764,1708.9259393817204,1718.1933399193547,1335.6816846774193,1384.618996236559,1274.7524872311826,925.5067939516128,2888.8088487903224,641.9478916666667,341.59670524193547,300.35106814516126,167.95427849462365,26.592264650537633,141.36201612903224
201903,11590560.0,22859.478597983867,1017.2685163978495,472.6600885752688,454.314645967742,541.0650389784946,779.1837467741935,843.4114822580646,896.734486827957,798.7414771505377,764.0256799731184,633.9429537634409,672.0119376344086,645.6422221774194,479.6998872311828,1198.9715052419356,1093.1437108870966,413.3228127688172,369.64870174731186,722.3773549731181,823.9464357526881,928.9436200268817,992.3238858870967,866.5973348118279,936.7727283602151,831.7402596774192,976.8550094086021,903.6027181451612,743.8344096774194,2058.695915725806,420.39412379032257,341.4054313172043,78.98859744623655,25.328426522327465,8.90544451962111,16.422974154262516
201903,11410640.0,18168.64505833333,680.4207686827956,377.27585618279574,431.0956298387098,522.7175681451613,540.429488172043,470.0291368279569,534.4263108870967,520.686102688172,742.695459811828,609.9792724462366,691.6154607526881,582.6796719086022,437.946779032258,1117.8359672043011,527.9263310483872,329.24402244623656,452.61814516129033,639.6683456989247,515.7359600806452,481.42824905913983,564.9182947580646,599.3063814516129,845.825853091398,695.8246110215055,785.0021822580646,812.3628592741936,648.0440549731183,2010.9063404569893,314.6752927419355,213.45780416666665,101.21721330645161,28.382173387096774,14.30646129032258,14.07571747311828
