행정동코드,총생활인구수,남자0세부터9세생활인구수,남자10세부터14세생활인구수,남자15세부터19세생활인구수,남자20세부터24세생활인구수,남자25세부터29세생활인구수,남자30세부터34세생활인구수,남자35세부터39세생활인구수,남자40세부터44세생활인구수,남자45세부터49세생활인구수,남자50세부터54세생활인구수,남자55세부터59세생활인구수,남자60세부터64세생활인구수,남자65세부터69세생활인구수,남자70세이상생활인구수,여자0세부터9세생활인구수,여자10세부터14세생활인구수,여자15세부터19세생활인구수,여자20세부터24세생활인구수,여자25세부터29세생활인구수,여자30세부터34세생활인구수,여자35세부터39세생활인구수,여자40세부터44세생활인구수,여자45세부터49세생활인구수,여자50세부터54세생활인구수,여자55세부터59세생활인구수,여자60세부터64세생활인구수,여자65세부터69세생활인구수,여자70세이상생활인구수,기준일ID,총생활인구수_LONG_FOREIGNER,중국인체류인구수_LONG_FOREIGNER,중국외외국인체류인구수_LONG_FOREIGNER,총생활인구수_TEMP_FOREIGNER,중국인체류인구수_TEMP_FOREIGNER,중국외외국인체류인구수_TEMP_FOREIGNER
11110515.0,17488.595592083333,602.8496815277778,384.1372820833333,643.3647618055556,599.8254122222222,664.6194343055556,639.8685138888889,691.48664125,701.5365380555555,830.1432805555555,580.1826837499999,564.3242133333333,368.5186275,259.61516902777777,724.39231375,556.8185834722223,333.63007805555554,728.0570659722223,650.2990736111111,612.2781015277777,598.9793208333333,760.8777043055555,828.4937415277777,812.3131615277778,625.943433611111,595.5924252777778,460.565587638889,454.3633906944445,1215.5194069444444,201811,340.21391041666664,141.74946652777777,198.46444736111113,714.3321858333334,213.30206194444443,500.6603219444445
11110540.0,7234.990347916667,93.05311166666667,71.30068916666667,316.7669270833333,298.48402500000003,265.13721111111107,327.7986036111111,375.12200888888884,349.0162952777778,400.2440423611111,304.1178875,243.4852723611111,182.0388959722222,146.53149763888888,322.37524388888886,101.45357972222223,62.321368055555546,207.5201438888889,237.8921447222222,297.7368558333333,303.56643347222223,324.32574,288.1932345833333,273.85714458333337,266.6938438888889,271.9888366666667,220.09797055555552,173.49979000000002,510.37154250000003,201811,254.67934930555555,98.20060166666667,156.47875000000002,788.3679462499999,210.0313936111111,577.9675169444444
11110550.0,13954.798323611114,289.35314652777777,224.36042638888887,440.5347698611112,719.0805258333334,467.3059143055555,344.11795944444447,393.34832138888885,421.02897972222223,488.27241875000004,505.33259430555563,501.50741999999997,368.2967615277778,281.44220736111106,672.8985540277778,334.0666943055556,237.93246069444447,686.5621655555556,761.7068886111113,381.54438236111116,409.08055513888894,511.5273994444444,509.0899470833334,614.3600858333333,581.6545795833333,518.9391866666666,595.0451979166667,363.2435376388889,1333.1652652777777,201811,739.6793075,482.11655125000004,257.5627659722222,315.3547525,41.59940847222222,273.37111
11110560.0,20520.64538611111,524.8020494444445,379.6064247222223,565.5380336111111,638.3068515277778,549.14414,441.84696111111106,591.5894020833334,609.1397909722223,716.7644737500001,740.2432350000001,820.5104905555556,675.6954427777778,512.770565,1289.77235875,598.14775375,349.4792772222222,717.0811023611111,628.9048806944443,459.7582733333334,566.0731566666667,712.8160486111111,710.9852443055555,931.6078977777778,863.4985044444445,994.9921337500001,946.5102729166667,646.2394304166667,2338.821178888889,201811,522.6924349999999,205.27163347222222,317.42078819444447,138.4103379166667,17.718343194444444,120.42708083333333
11170530.0,20860.398737916665,234.51092416666668,113.15582472222223,474.4741344444445,962.4159015277777,1057.516598888889,1095.356953611111,1181.2879062499999,1093.3472068055555,1126.38701,842.1319256944445,796.448361111111,618.094792638889,453.1597033333333,897.9030858333334,247.6541076388889,112.75301541666667,396.1668216666667,1114.4895265277778,1301.3324218055557,1081.83025,933.9447538888888,761.980147361111,769.9056056944445,630.3674213888888,654.6710136111111,548.5021672222222,402.12737722222226,958.4837677777779,201811,1068.0357454166667,576.7133734722222,491.3223634722222,1276.55169125,299.78529930555555,976.4161909722222
11170555.0,25568.01037388889,509.13106930555557,366.5740668055556,901.0264998611111,906.6607195833334,1016.6597697222222,940.5983302777779,1019.0159069444444,828.2159034722221,921.3108199999999,764.31477875,776.7602186111112,577.865644861111,420.795425,970.4192779166667,541.2493368055555,293.3759806944445,1187.762511111111,2880.470407361111,1547.7231318055556,1120.308677638889,984.4515263888887,891.9734672222222,872.4806275,780.0317449999999,868.9993811111111,690.5455172222222,523.7182102777778,1465.5714456944445,201811,1132.1145704895105,565.6877513286713,566.4268118881118,846.4263407563026,177.1512481792717,668.9239949579832
11260570.0,19170.10975236111,683.5480045833334,311.94860416666666,407.70599402777776,565.5930137500001,629.7099693055555,630.8211058333334,767.1445291666666,667.1886033333334,686.48097,705.281075,675.8231987500001,673.620580138889,538.9720690277778,1008.5195204166666,562.3634836111111,251.94595,366.96283,521.3401662499999,650.3078947222223,640.5204966666666,731.275821388889,591.6671866666667,832.2659356944444,774.1466718055553,950.46095375,792.4376006944444,633.6956043055555,1918.3618662499998,201811,359.72023430555555,211.88829666666666,147.83190444444443,45.24096027777777,16.88544375,27.99424916666667
11470550.0,42469.30233694445,1992.07439125,2188.6117255555555,1994.7865763888888,858.2811215277777,880.7754466666667,905.4466397222222,1012.3132663888888,1522.3745890277778,1956.3843165277779,1503.356865833333,1217.7033994444441,1013.174723888889,811.7111398611111,1458.9381230555555,2011.9385093055555,2121.8503588888893,1644.4265784722222,1066.8986855555556,1134.309692361111,1147.4206005555554,1533.68232125,2242.47610875,2439.6534793055553,1644.8639326388889,1506.133332361111,1303.1408702777778,944.2848172222222,2412.290668472222,201811,415.26837069444446,219.18122444444444,196.0871429166667,116.95903708333333,5.427624722222222,111.40999805555556
11470560.0,15688.395600694445,489.09155819444436,236.29551791666668,268.99899597222225,427.24322458333336,487.30323999999996,567.2895504166667,706.1679084722223,640.5705884722222,666.0469044444444,596.6352565277778,671.9064780555556,524.9730463888889,398.0739781944445,688.7820376388888,445.02782583333334,237.08388791666664,273.4338998611111,413.96713763888886,520.0296690277778,530.6359044444445,621.3326673611111,584.5387206944445,611.7149815277778,646.0214411111111,748.1113251388889,702.4840998611112,610.2858743055556,1374.349844722222,201811,325.14076430555554,249.31150361111108,75.82925083333333,54.43767097222223,23.093989583333332,30.97833333333333
11260575.0,21147.654390277778,677.6438694444444,377.0763318055556,666.4409626388889,875.8376576388889,701.2137758333333,691.549534861111,819.55646375,687.3779066666666,804.5284699999999,735.7238118055554,762.4984497222222,628.6087115277778,531.7698608333334,1094.4039118055555,605.0322455555555,311.78550319444446,533.3254827777778,764.6587931944443,705.8059598611112,722.6850666666667,758.2193661111111,651.9129291666667,901.70439625,860.6055279166667,971.1121218055555,807.5399993055555,593.7732581944445,1905.2640843055558,201811,411.96888208333337,218.6118252777778,193.35703236111112,38.415744784422806,3.7787714881780254,34.50982267037552
